"VP","VN","FP","FN"
"15","37","3","0"
"17","37","1","0"
"15","37","3","0"
"7","37","11","0"
"17","37","1","0"
"16","37","2","0"
"9","37","9","0"
"9","37","9","0"
"7","37","11","0"
"12","37","6","0"
"17","37","1","0"
"13","37","5","0"
"18","37","0","0"
"11","37","7","0"
"15","37","3","0"
"12","37","6","0"
"16","37","2","0"
"14","37","4","0"
"14","37","4","0"
"10","37","8","0"
"11","37","7","0"
"17","36","1","1"
"14","37","4","0"
"14","37","4","0"
"9","37","9","0"
"16","37","2","0"
"15","37","3","0"
"17","37","1","0"
"14","37","4","0"
"15","37","3","0"
"10","37","8","0"
"11","37","7","0"
"3","37","15","0"
"13","37","5","0"
"16","37","2","0"
"0","37","18","0"
"13","37","5","0"
"11","37","7","0"
"11","37","7","0"
"11","37","7","0"
"11","37","7","0"
"10","37","8","0"
"14","37","4","0"
"8","37","10","0"
"13","37","5","0"
"6","37","12","0"
"16","37","2","0"
"8","37","10","0"
"15","37","3","0"
"16","36","2","1"
"13","37","5","0"
"16","36","2","1"
"6","37","12","0"
"5","37","13","0"
"10","37","8","0"
"17","37","1","0"
"17","35","1","2"
"15","37","3","0"
"15","37","3","0"
"6","37","12","0"
"14","37","4","0"
"11","37","7","0"
"15","37","3","0"
"8","37","10","0"
"17","37","1","0"
"16","37","2","0"
"17","37","1","0"
"17","37","1","0"
"9","37","9","0"
"16","37","2","0"
"4","37","14","0"
"17","37","1","0"
"8","37","10","0"
"12","37","6","0"
"13","37","5","0"
"2","37","16","0"
"14","37","4","0"
"12","37","6","0"
"12","37","6","0"
"13","37","5","0"
"8","37","10","0"
"12","37","6","0"
"7","37","11","0"
"14","37","4","0"
"17","37","1","0"
"13","37","5","0"
"10","37","8","0"
"12","37","6","0"
"11","37","7","0"
"9","37","9","0"
"13","37","5","0"
"17","35","1","2"
"15","37","3","0"
"16","37","2","0"
"13","37","5","0"
"13","37","5","0"
"15","37","3","0"
"9","37","9","0"
"13","37","5","0"
"10","37","8","0"
"17","37","1","0"
