"VP","VN","FP","FN"
"53","2","0","0"
"53","2","0","0"
"51","4","0","0"
"53","2","0","0"
"53","2","0","0"
"55","0","0","0"
"54","1","0","0"
"53","2","0","0"
"51","4","0","0"
"52","3","0","0"
"53","2","0","0"
"55","0","0","0"
"54","1","0","0"
"47","8","0","0"
"55","0","0","0"
"55","0","0","0"
"53","2","0","0"
"53","2","0","0"
"54","1","0","0"
"54","1","0","0"
"53","2","0","0"
"52","3","0","0"
"53","2","0","0"
"53","2","0","0"
"53","2","0","0"
"52","3","0","0"
"54","1","0","0"
"53","2","0","0"
"55","0","0","0"
"52","3","0","0"
"55","0","0","0"
"53","2","0","0"
"52","3","0","0"
"55","0","0","0"
"54","1","0","0"
"52","3","0","0"
"54","1","0","0"
"52","3","0","0"
"55","0","0","0"
"54","1","0","0"
"53","2","0","0"
"50","5","0","0"
"54","1","0","0"
"54","1","0","0"
"52","3","0","0"
"53","2","0","0"
"53","2","0","0"
"52","3","0","0"
"53","2","0","0"
"54","1","0","0"
"52","3","0","0"
"53","2","0","0"
"54","1","0","0"
"54","1","0","0"
"55","0","0","0"
"54","1","0","0"
"48","7","0","0"
"55","0","0","0"
"55","0","0","0"
"54","1","0","0"
"53","2","0","0"
"55","0","0","0"
"52","3","0","0"
"55","0","0","0"
"54","1","0","0"
"53","2","0","0"
"54","1","0","0"
"52","3","0","0"
"51","4","0","0"
"53","2","0","0"
"54","1","0","0"
"54","1","0","0"
"52","3","0","0"
"54","1","0","0"
"55","0","0","0"
"55","0","0","0"
"55","0","0","0"
"50","5","0","0"
"52","3","0","0"
"55","0","0","0"
"50","5","0","0"
"54","1","0","0"
"52","3","0","0"
"54","1","0","0"
"53","2","0","0"
"54","1","0","0"
"53","2","0","0"
"54","1","0","0"
"49","6","0","0"
"54","1","0","0"
"54","1","0","0"
"55","0","0","0"
"53","2","0","0"
"52","3","0","0"
"54","1","0","0"
"55","0","0","0"
"53","2","0","0"
"55","0","0","0"
"54","1","0","0"
"46","9","0","0"
"51","4","0","0"
